Fecha;Dist;Unidades Enviadas;Origen;Destino;Guia;Tamaño de Caja;Cajas;Sub-Total;ISV;total factura
9/8/2019;39176;16;BC;CTMSPS;1090583168;Grande;1;121.98;18.30;140.28
9/8/2019;38881;19;BC;TOCE;1090583169;Mediana;1;149.95;22.49;172.44
9/8/2019;39175;19;BC;TOCHU;1090583170;Mediana;1;104.86;15.73;120.59
12/8/2019;39201, 39198;48;BC;CTMSPS;1090581418;Grande;1;121.98;18.30;140.28
12/8/2019;39,199;21;BC;MEGA;1090581419;Mediana;1;104.86;15.73;120.59
12/8/2019;38922, 38926;94;BC;TOCE;1090581420;Grande;1;158.57;23.79;182.36
14/8/2019;356;95;MEGA;BC;0790561273;Extra Grande;1;161.57;24.24;185.81
8/8/2019;8,400;15;TOCE;MEGA;1211192938;Mediana;1;104.86;15.73;120.59
7/8/2019;345;12;MEGA;TOCE;0121254678;Mediana;1;104.86;15.73;120.59
15/8/2019;39222, 23;12;BC;CTMSPS;00014063;Mediana;1;104.86;15.73;120.59
15/8/2019;39,224;10;BC;TOCHU;00014064;Mediana;1;104.86;15.73;120.59
16/8/2019;543;79;CTMSPS;BC;0790562215;Extra Grande;1;161.57;24.24;185.81
15/8/2019;8408, 07;108;TOCE;BC;0790562717;Extra Grande;1;352.45;52.87;405.32
15/8/2019;776;139;TOCHU;BC;0121259058;Extra Grande;1;254.65;38.20;292.85
16/8/2019;38,948;8;BC;TOCE;0121265598;Extra Grande;1;193.88;29.08;222.96
16/8/2019;39,228;38;BC;MEGA;0121265597;Grande;1;121.98;18.30;140.28
16/8/2019;39229, 30;47;BC;CTMSPS;0121265596;Grande;2;243.96;36.59;280.55
8/8/2019;8398;12;TOCE;CTMSPS;1211192945;Mediana;1;104.86;15.73;120.59
20/8/2019;39252;47;BC;TOCE;0121266073;Grande;1;158.57;23.79;182.36
20/7/2019;39250, 39253, 39254;73;BC;CTMSPS;0121266074;Grande;1;226.84;34.03;260.87
20/8/2019;365;53;MEGA;BC;0111244242;Grande;1;121.98;18.30;140.28
20/8/2019;779, 780;47;TOCHU;BC;0121259490;Extra Grande;1;161.57;24.24;185.81
20/8/2019;555;1;CTMSPS;BC;0121271446;Extra Grande;1;161.57;24.24;185.81
20/8/2019;8412, 8413, 8416;90;TOCE;BC;0790562704;Grande;2;317.14;47.57;364.71
21/8/2019;39260;59;BC;TOCE;0121266083;GTOCE;1;158.57;23.79;182.36
21/8/2019;39261;38;BC;MEGA;0121266116;GSPS;1;121.98;18.30;140.28
;;;;;;;;;;
